Timestamp,ServiceID,Pseudonym,Longitude,Latitude,Width,Length,Speed,Heading
12100,435,366,3430,15810,62,1023,978,1797
12200,575,506,17960,5890,62,1023,1300,2700
12300,365,296,-13860,5310,62,1023,854,900
12300,85,1469348094,-5730,5310,62,1023,979,900
12300,505,436,17020,6180,62,1023,994,2700
12400,295,1036140795,-8890,5310,62,1023,980,900
12400,575,506,17740,5890,62,1023,1210,2700
12500,225,463480570,-7330,5600,62,1023,974,900
12500,155,1956297539,-5710,5600,62,1023,999,900
12600,365,2040651434,-13630,5310,62,1023,901,900
12600,435,366,3430,15360,62,1023,991,1797
12600,575,506,17520,5890,62,1023,1208,2700
12800,85,1975960378,-5280,5310,62,1023,985,900
12800,575,506,17300,5890,62,1023,1207,2700
12800,505,436,16570,6180,62,1023,982,2700
12900,365,2040651434,-13380,5310,62,1023,939,900
12900,295,1036140795,-8450,5310,62,1023,995,900
13000,225,463480570,-6880,5600,62,1023,992,900
13000,155,317097467,-5260,5600,62,1023,987,900
13000,575,506,17080,5890,62,1023,1222,2700
13100,435,366,3430,14910,62,1023,976,1797
13200,365,2040651434,-13120,5310,62,1023,975,900
13300,85,1975960378,-4840,5310,62,1023,994,900
13300,505,436,16130,6180,62,1023,993,2700
13400,295,1892066601,-8000,5310,62,1023,1000,900
13400,575,506,16650,5890,62,1023,1219,2700
13500,225,463480570,-6440,5600,62,1023,986,900
13500,155,317097467,-4820,5600,62,1023,986,900
13600,435,1376710097,3430,14460,62,1023,983,1797
13700,365,2040651434,-12680,5310,62,1023,981,900
13800,85,1975960378,-4390,5310,62,1023,992,900
13800,575,506,16210,5890,62,1023,1217,2700
13800,505,436,15690,6180,62,1023,985,2700
13900,295,1892066601,-7560,5310,62,1023,988,900
14000,225,463480570,-5990,5600,62,1023,977,900
14000,155,317097467,-4370,5600,62,1023,987,900
14100,435,1376710097,3440,14020,62,1023,980,1797
14200,365,2040651434,-12230,5310,62,1023,991,900
14200,575,506,15770,5890,62,1023,1215,2700
14300,85,1975960378,-3950,5310,62,1023,985,900
14300,505,927612902,15240,6180,62,1023,979,2700
14400,295,1892066601,-7110,5310,62,1023,977,900
14500,225,1330573317,-5550,5600,62,1023,975,900
14500,155,317097467,-3930,5600,62,1023,975,900
14600,435,1376710097,3440,13570,62,1023,981,1797
14600,575,603570492,15330,5890,62,1023,1220,2700
14700,365,2040651434,-11790,5310,62,1023,979,900
14800,85,1975960378,-3510,5310,62,1023,996,900
14800,505,927612902,14800,6180,62,1023,979,2700
14900,295,1892066601,-6670,5310,62,1023,987,900
15000,225,1330573317,-5100,5600,62,1023,998,900
15000,155,317097467,-3490,5600,62,1023,981,900
15000,575,603570492,14900,5890,62,1023,1216,2700
15100,435,1376710097,3440,13120,62,1023,999,1797
15200,365,2040651434,-11350,5310,62,1023,977,900
15300,85,1975960378,-3060,5310,62,1023,988,900
15300,505,927612902,14360,6180,62,1023,980,2700
15400,295,1892066601,-6230,5310,62,1023,989,900
15400,575,603570492,14460,5890,62,1023,1214,2700
15500,225,1330573317,-4660,5600,62,1023,981,900
15500,155,317097467,-3050,5600,62,1023,985,900
15600,435,1376710097,3440,12680,62,1023,1000,1797
15700,365,1687926652,-10900,5310,62,1023,979,900
15800,85,660260756,-2620,5310,62,1023,979,900
15800,575,603570492,14030,5890,62,1023,1206,2700
15800,505,927612902,13910,6180,62,1023,999,2700
15900,295,1892066601,-5790,5310,62,1023,976,900
16000,225,1330573317,-4210,5600,62,1023,990,900
16000,155,959997301,-2600,5600,62,1023,996,900
16100,435,1376710097,3440,12230,62,1023,998,1797
16200,365,1687926652,-10460,5310,62,1023,984,900
16200,575,603570492,13590,5890,62,1023,1211,2700
16300,85,660260756,-2170,5310,62,1023,999,900
16300,505,927612902,13470,6180,62,1023,994,2700
16400,295,485560280,-5340,5310,62,1023,983,900
16500,225,1330573317,-3770,5600,62,1023,981,900
16500,155,959997301,-2160,5600,62,1023,996,900
16600,435,402724286,3450,11790,62,1023,977,1797
16600,575,603570492,13160,5890,62,1023,1214,2700
16700,365,1687926652,-10020,5310,62,1023,982,900
16800,85,660260756,-1730,5310,62,1023,983,900
16800,505,927612902,13020,6180,62,1023,985,2700
16900,295,485560280,-4900,5310,62,1023,985,900
17000,225,1330573317,-3330,5600,62,1023,995,900
17000,155,959997301,-1710,5600,62,1023,988,900
17000,575,603570492,12720,5890,62,1023,1222,2700
17100,435,402724286,3450,11340,62,1023,992,1797
17200,365,1687926652,-9570,5310,62,1023,996,900
17300,85,660260756,-1290,5310,62,1023,994,900
17300,505,1194953865,12580,6180,62,1023,982,2700
17400,295,485560280,-4450,5310,62,1023,983,900
17400,575,593209441,12280,5890,62,1023,1219,2700
17500,225,1330573317,-2880,5600,62,1023,976,900
17500,155,959997301,-1270,5600,62,1023,988,900
17600,435,402724286,3450,10890,62,1023,998,1797
17700,365,1687926652,-9130,5310,62,1023,982,900
17800,85,660260756,-850,5310,62,1023,991,900
17800,575,593209441,11840,5890,62,1023,1218,2700
17800,505,1194953865,12140,6180,62,1023,979,2700
17900,295,485560280,-4010,5310,62,1023,985,900
18000,225,894429689,-2440,5600,62,1023,980,900
18000,155,959997301,-820,5600,62,1023,978,900
18100,435,402724286,3450,10450,62,1023,974,1797
18200,365,1687926652,-8690,5310,62,1023,990,900
18200,575,593209441,11400,5890,62,1023,1229,2700
